Petition,URL,State,Signatures Count
Requirement of 5 years NHS employment for the position of Health Secretary,https://petition.parliament.uk/archived/petitions/104470,closed,3115
Vote no confidence in David Cameron,https://petition.parliament.uk/archived/petitions/104471,closed,199391
Remove latex products from schools,https://petition.parliament.uk/archived/petitions/104472,closed,19
Allow grocery stores to donate food to charities without any legal implications.,https://petition.parliament.uk/archived/petitions/104474,closed,417
"Reinstate the £250,000 budget for research into urban gulls",https://petition.parliament.uk/archived/petitions/104478,closed,354
Stop treating Expats coming home to the UK the same as immigrants,https://petition.parliament.uk/archived/petitions/104483,closed,692
Stop the legislation to 'kick out foreign graduates',https://petition.parliament.uk/archived/petitions/104485,closed,79
"Reverse the Health & Social Care Act 2012, and stop clinical commissioning",https://petition.parliament.uk/archived/petitions/104492,closed,225
Ban youth rates and have a blanket minimum wage for all age groups.,https://petition.parliament.uk/archived/petitions/104498,closed,2860
All MP's to be mandatory drink & drug tested before debates & voting,https://petition.parliament.uk/archived/petitions/104500,closed,2325
Have an independent review on NHS salaries.,https://petition.parliament.uk/archived/petitions/104501,closed,59
Stop Pet Passports being abused by European puppy farmers.,https://petition.parliament.uk/archived/petitions/104502,closed,1597
Hold a referendum to decide whether this country wants a nuclear deterrent.,https://petition.parliament.uk/archived/petitions/104504,closed,2970
BBC funding should be maintained rather than cut.,https://petition.parliament.uk/archived/petitions/104507,closed,95
The Government will establish a biometric ID system for UK citizens.,https://petition.parliament.uk/archived/petitions/104508,closed,79
To legislate for a maximum number of similar chain stores per km in city centres,https://petition.parliament.uk/archived/petitions/104514,closed,47
Do not pass further Mass Surveillance legislation into law.,https://petition.parliament.uk/archived/petitions/104527,closed,243
Make awareness of rape and sexual consent mandatory in sex education in schools,https://petition.parliament.uk/archived/petitions/104530,closed,971
Retain all Gedling Village households in Carlton East for Notts County Council,https://petition.parliament.uk/archived/petitions/104532,closed,10
Extend Harvey's Mandate To All Council Roads ensuring all animals are scanned.,https://petition.parliament.uk/archived/petitions/104534,closed,45624
Legislate The Right to Privacy in Pool Cubicles and Abolish all Cubicle Gaps.,https://petition.parliament.uk/archived/petitions/104536,closed,68
Referendum for the North of England to secede from England and join Scotland,https://petition.parliament.uk/archived/petitions/104538,closed,41
Investigate the allegations of child sex abuse in Westminster.,https://petition.parliament.uk/archived/petitions/104539,closed,67
Ensure nobody gets less than those in our prisons,https://petition.parliament.uk/archived/petitions/104543,closed,59
Respond to a vote of no confidence in the United Kingdom Conservative Government,https://petition.parliament.uk/archived/petitions/104544,closed,1028
Introduce mental health education to the national curriculum,https://petition.parliament.uk/archived/petitions/104545,closed,51234
Leave the Freedom of Information act alone.,https://petition.parliament.uk/archived/petitions/104547,closed,1257
