Petition,URL,State,Signatures Count
Reduce and end unnecessary single-use plastics,https://petition.parliament.uk/petitions/200189,closed,11595
Vaccinate badgers instead of culling,https://petition.parliament.uk/petitions/200200,closed,56
Put tuition fees back to £3000 per year,https://petition.parliament.uk/petitions/200201,closed,220
Put a cap on the amount of hours an NHS employee can work in one shift.,https://petition.parliament.uk/petitions/200202,closed,66
To legalise handguns for fac holders,https://petition.parliament.uk/petitions/200203,closed,757
Ban attendance awards in schools,https://petition.parliament.uk/petitions/200204,closed,2602
End the export of live farm animals after Brexit.,https://petition.parliament.uk/petitions/200205,closed,100752
Update BE test rules to allow automatic cars to be used and gain manual as well,https://petition.parliament.uk/petitions/200206,closed,82
Stop MLM distributors selling health and weight loss products without training,https://petition.parliament.uk/petitions/200209,closed,55
Stop electoral fraud by creating a national database of voters,https://petition.parliament.uk/petitions/200212,closed,833
Abolish Universal Credits before it puts majority of the UK in poverty,https://petition.parliament.uk/petitions/200213,closed,17992
Introduce a nationwide deposit return system for plastic bottles in the UK,https://petition.parliament.uk/petitions/200215,closed,796
Free NHS prescriptions for full time students.,https://petition.parliament.uk/petitions/200218,closed,56
Impose Financial sanctions on the State of Myanmar (Burma).,https://petition.parliament.uk/petitions/200224,closed,30349
Make any overtime worked over standard contracted hours Tax free,https://petition.parliament.uk/petitions/200225,closed,60
Make it a legal requirement to increase leg room in public spaces when sat down.,https://petition.parliament.uk/petitions/200228,closed,49
Scrap the OISC and extend the remit of the SRA to Immigration Advisers,https://petition.parliament.uk/petitions/200233,closed,9
Hold a second EU referendum,https://petition.parliament.uk/petitions/200235,closed,1022
Abolish the TV Licence,https://petition.parliament.uk/petitions/200239,closed,15677
Make recycling of all household low-grade plastics mandatory throughout the UK.,https://petition.parliament.uk/petitions/200240,closed,246
"Cyclists must take a road test, be Licensed and Insured to be on the road.",https://petition.parliament.uk/petitions/200244,closed,1315
Tighter Regulations On Dog Breeding and Make Neutering and Spaying Compulsory,https://petition.parliament.uk/petitions/200245,closed,129
Put Stonehenge into special measures Remove Stonehenge from EH Management,https://petition.parliament.uk/petitions/200246,closed,1288
Use foreign aid money to help in the Caribbean.,https://petition.parliament.uk/petitions/200250,closed,158
Ban balloon and sky lantern releases.,https://petition.parliament.uk/petitions/200251,closed,50414
Ban cigarette smoking in public areas.,https://petition.parliament.uk/petitions/200253,closed,208
Stop police and crime commissioners from controlling the fire brigade.,https://petition.parliament.uk/petitions/200264,closed,399
Double the mandatory sentence for possession of a Firearm,https://petition.parliament.uk/petitions/200266,closed,46
"After Brexit, EU dialysis provision through EHIC to remain for UK residents.",https://petition.parliament.uk/petitions/200268,closed,4395
Make it law for every alcohol transaction to require approved photo ID,https://petition.parliament.uk/petitions/200270,closed,16
Remove VAT on silver and platinum coins issued as legal tender.,https://petition.parliament.uk/petitions/200271,closed,30
Move all voting days to weekends to avoid disruption in schools and industry.,https://petition.parliament.uk/petitions/200272,closed,42
Allow everyone over 55 flexibility to manage their private pension,https://petition.parliament.uk/petitions/200277,closed,10
Make Sanitary Wear free on prescription for girls under 16 and women on benefits,https://petition.parliament.uk/petitions/200278,closed,307
Change trespassing from a civil offence to a criminal offence.,https://petition.parliament.uk/petitions/200285,closed,41
End the Help to Buy scheme and instead direct this funding into social housing,https://petition.parliament.uk/petitions/200288,closed,1191
Allow and help gay couples in the uk have children through surrogacy.,https://petition.parliament.uk/petitions/200291,closed,53
